Season Start,Season End,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,Salary,Salary w/ Inflation
2008,2009,Minnesota Timberwolves,97.8,36.4,82.5,44.1,6.6,18.8,35.3,18.3,23.9,76.9,11.9,29.8,41.7,20.4,14.2,6.2,3.9,5.9,"$54,473,275 ","$58,541,453 "
2009,2010,Minnesota Timberwolves,98.2,37.9,84.4,44.9,4.9,14.4,34.1,17.5,23.5,74.6,11.7,31.2,42.9,19.8,16.3,7.3,3.7,5.4,"$73,843,541 ","$79,260,236 "
2010,2011,Minnesota Timberwolves,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,17.0,7.2,5.1,5.5,"$96,245,877 ","$102,285,744 "
2011,2012,Minnesota Timberwolves,97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,"$120,521,249 ","$126,025,887 "
2012,2013,Minnesota Timberwolves,95.7,35.9,81.7,43.9,5.5,18.0,30.5,18.5,24.9,74.2,11.9,30.2,42.0,22.4,14.8,8.5,4.7,5.9,"$66,445,144 ","$77,780,119 "
2013,2014,Minnesota Timberwolves,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,"$62,253,360 ","$73,928,037 "
2014,2015,Minnesota Timberwolves,97.8,36.4,83.2,43.8,5.0,14.9,33.2,20.0,25.7,77.6,11.6,29.3,40.9,21.6,15.0,8.1,4.0,5.5,"$53,461,123 ","$62,825,180 "
2015,2016,Minnesota Timberwolves,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27.0,79.2,10.0,31.5,41.6,23.4,15.0,8.0,4.6,5.2,"$56,844,339 ","$64,505,355 "
2016,2017,Minnesota Timberwolves,105.6,39.5,84.4,46.7,7.3,21.0,34.9,19.3,24.2,79.9,11.4,31.0,42.4,23.7,14.0,8.0,4.5,5.0,"$64,329,748 ","$71,804,760 "
2017,2018,Minnesota Timberwolves,109.5,41.0,86.1,47.6,8.0,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42.0,22.7,12.5,8.4,4.2,4.7,"$68,564,040 ","$75,211,546 "
2008,2009,New Jersey Nets,98.1,35.7,79.7,44.8,8.0,21.2,37.6,18.8,24.1,77.9,10.4,29.5,39.8,20.0,13.1,6.8,4.8,4.8,"$69,378,954 ","$74,560,321 "
2009,2010,New Jersey Nets,92.4,34.3,79.9,42.9,4.6,14.5,31.8,19.2,24.6,78.0,10.9,28.8,39.7,18.8,14.4,7.0,4.8,5.1,"$72,287,243 ","$77,589,778 "
2010,2011,New Jersey Nets,94.2,35.6,81.0,44.0,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21.0,14.0,5.6,4.7,4.6,"$83,527,580 ","$88,769,315 "
2011,2012,New Jersey Nets,93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,15.1,7.5,3.9,5.0,"$116,075,131 ","$121,376,702 "
2008,2009,New Orleans Hornets,95.8,35.5,77.6,45.7,6.8,18.6,36.4,18.0,22.4,80.7,9.8,29.9,39.7,19.6,12.5,7.2,4.1,3.5,"$67,530,808 ","$79,050,989 "
2009,2010,New Orleans Hornets,100.2,38.8,83.4,46.4,7.0,19.2,36.3,15.8,20.3,77.8,10.4,29.9,40.3,22.3,13.5,7.6,3.7,4.5,"$70,163,827 ","$83,321,997 "
2010,2011,New Orleans Hornets,94.9,35.9,78.2,45.9,5.4,15.0,36.0,17.7,23.1,76.5,10.0,30.1,40.1,20.6,13.0,7.6,4.4,4.8,"$68,230,729 ","$80,181,781 "
2011,2012,New Orleans Hornets,89.6,34.8,77.3,45.1,3.9,11.8,33.3,16.0,21.2,75.7,11.0,30.2,41.1,20.7,15.5,7.4,4.8,5.8,"$65,441,008 ","$74,260,613 "
2012,2013,New Orleans Hornets,94.1,36.0,80.4,44.8,6.5,18.0,36.3,15.5,20.0,77.6,12.0,29.6,41.6,21.0,14.5,6.3,5.4,6.0,"$64,134,537 ","$71,586,865 "
2013,2014,New Orleans Pelicans,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,"$67,358,651 ","$73,889,290 "
2014,2015,New Orleans Pelicans,99.4,37.9,82.9,45.7,7.1,19.3,37.0,16.4,21.8,75.1,11.5,32.0,43.5,22.0,13.3,6.7,6.2,5.8,"$80,012,866 ","$85,988,398 "
2015,2016,New Orleans Pelicans,102.7,38.5,85.9,44.8,8.6,23.8,36.0,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,"$83,709,371 ","$89,849,758 "
2016,2017,New Orleans Pelicans,104.3,39.1,87.0,45.0,9.4,26.8,35.0,16.7,22.3,75.0,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,"$101,616,451 ","$107,993,343 "
2017,2018,New Orleans Pelicans,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.6,44.3,26.8,14.9,8.0,5.9,4.2,"$120,814,452 ","$126,332,484 "
2008,2009,New York Knicks,105.2,38.5,86.5,44.5,10.0,27.9,36.0,18.2,23.2,78.4,11.1,31.0,42.1,21.2,14.3,7.4,2.5,5.3,"$96,643,646 ","$113,130,233 "
2009,2010,New York Knicks,102.1,38.1,83.9,45.5,9.1,26.2,34.6,16.8,21.5,78.2,10.2,30.2,40.4,21.6,14.0,7.1,3.7,4.5,"$85,710,076 ","$101,783,713 "
2010,2011,New York Knicks,106.5,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,13.7,7.6,5.8,4.4,"$67,016,562 ","$78,754,945 "
2011,2012,New York Knicks,97.8,35.8,80.8,44.3,7.8,23.3,33.6,18.3,24.8,74.1,11.3,30.5,41.7,20.1,16.0,9.4,4.2,5.1,"$77,093,212 ","$87,483,210 "
2012,2013,New York Knicks,100.0,36.5,81.6,44.8,10.9,28.9,37.6,16.0,21.1,75.9,10.9,29.7,40.6,19.3,12.0,8.2,3.6,4.0,"$79,977,119 ","$89,270,334 "
2013,2014,New York Knicks,98.6,36.9,82.2,44.9,9.3,24.9,37.2,15.5,20.4,76.1,10.6,29.7,40.3,20.0,13.0,7.7,4.5,3.4,"$89,072,787 ","$97,708,684 "
2014,2015,New York Knicks,91.9,35.1,82.0,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,14.7,7.0,4.7,4.3,"$81,369,219 ","$87,446,049 "
2015,2016,New York Knicks,98.4,36.9,84.0,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34.0,44.4,20.5,13.4,5.7,5.7,4.2,"$74,237,021 ","$79,682,579 "
2016,2017,New York Knicks,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12.0,33.2,45.2,21.8,13.9,7.1,5.5,4.6,"$102,593,418 ","$109,031,624 "
2017,2018,New York Knicks,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19.0,78.7,10.5,33.6,44.0,23.3,14.7,6.7,5.1,4.7,"$105,403,130 ","$110,217,272 "
2008,2009,Oklahoma City Thunder,97.0,36.6,81.9,44.7,4.0,11.6,34.6,19.8,25.2,78.6,12.2,30.5,42.6,20.3,16.2,7.4,4.5,5.0,"$68,341,605 ","$80,000,097 "
2009,2010,Oklahoma City Thunder,101.5,37.4,80.8,46.2,5.1,15.0,34.0,21.7,27.0,80.5,11.7,31.8,43.5,20.0,15.0,8.0,5.9,4.7,"$58,578,614 ","$69,564,148 "
2010,2011,Oklahoma City Thunder,104.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11.0,31.8,42.8,20.4,14.1,8.0,5.9,4.3,"$55,922,488 ","$65,717,669 "
2011,2012,Oklahoma City Thunder,103.1,37.3,79.2,47.1,7.2,20.0,35.8,21.3,26.4,80.6,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,"$59,501,709 ","$67,520,863 "
2012,2013,Oklahoma City Thunder,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,"$68,924,100 ","$76,932,970 "
2013,2014,Oklahoma City Thunder,106.2,39.0,82.7,47.1,8.1,22.4,36.1,20.2,25.0,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,"$71,653,401 ","$78,600,431 "
