Season,Team,W,L,W/L%,Playoffs
2013-14,Orlando Magic,23,59,0.28,
2012-13,Orlando Magic,20,62,0.244,
2011-12,Orlando Magic,37,29,0.561,Lost E. Conf. 1st Rnd.
2010-11,Orlando Magic,52,30,0.634,Lost E. Conf. 1st Rnd.
2009-10,Orlando Magic,59,23,0.72,Lost E. Conf. Finals
2008-09,Orlando Magic,59,23,0.72,Lost Finals
2017-18,Atlanta Hawks,9,26,0.257,
2016-17,Atlanta Hawks,43,39,0.524,Lost E. Conf. 1st Rnd.
2015-16,Atlanta Hawks,48,34,0.585,Lost E. Conf. Semis
2014-15,Atlanta Hawks,60,22,0.732,Lost E. Conf. Finals
2013-14,Atlanta Hawks,38,44,0.463,Lost E. Conf. 1st Rnd.
2012-13,Atlanta Hawks,44,38,0.537,Lost E. Conf. 1st Rnd.
2011-12,Atlanta Hawks,40,26,0.606,Lost E. Conf. 1st Rnd.
2010-11,Atlanta Hawks,44,38,0.537,Lost E. Conf. Semis
2009-10,Atlanta Hawks,53,29,0.646,Lost E. Conf. Semis
2008-09,Atlanta Hawks,47,35,0.573,Lost E. Conf. Semis
2017-18,Houston Rockets,25,9,0.735,
2016-17,Houston Rockets,55,27,0.671,Lost W. Conf. Semis
2015-16,Houston Rockets,41,41,0.5,Lost W. Conf. 1st Rnd.
2014-15,Houston Rockets,56,26,0.683,Lost W. Conf. Finals
2013-14,Houston Rockets,54,28,0.659,Lost W. Conf. 1st Rnd.
2012-13,Houston Rockets,45,37,0.549,Lost W. Conf. 1st Rnd.
2011-12,Houston Rockets,34,32,0.515,
2010-11,Houston Rockets,43,39,0.524,
2009-10,Houston Rockets,42,40,0.512,
2008-09,Houston Rockets,53,29,0.646,Lost W. Conf. Semis
2007-08,Houston Rockets,55,27,0.671,Lost W. Conf. 1st Rnd.
2017-18,San Antonio Spurs,25,11,0.694,
2016-17,San Antonio Spurs,61,21,0.744,Lost W. Conf. Finals
2015-16,San Antonio Spurs,67,15,0.817,Lost W. Conf. Semis
2014-15,San Antonio Spurs,55,27,0.671,Lost W. Conf. 1st Rnd.
2013-14,San Antonio Spurs,62,20,0.756,Won Finals
2012-13,San Antonio Spurs,58,24,0.707,Lost Finals
2011-12,San Antonio Spurs,50,16,0.758,Lost W. Conf. Finals
2010-11,San Antonio Spurs,61,21,0.744,Lost W. Conf. 1st Rnd.
2009-10,San Antonio Spurs,50,32,0.61,Lost W. Conf. Semis
2008-09,San Antonio Spurs,54,28,0.659,Lost W. Conf. 1st Rnd.
2017-18,New Orleans Pelicans,18,17,0.514,
2016-17,New Orleans Pelicans,34,48,0.415,
2015-16,New Orleans Pelicans,30,52,0.366,
2014-15,New Orleans Pelicans,45,37,0.549,Lost W. Conf. 1st Rnd.
2013-14,New Orleans Pelicans,34,48,0.415,
2012-13,New Orleans Pelicans,27,55,0.329,
2011-12,New Orleans Pelicans,21,45,0.318,
2010-11,New Orleans Pelicans,46,36,0.561,Lost W. Conf. 1st Rnd.
2009-10,New Orleans Pelicans,37,45,0.451,
2008-09,New Orleans Pelicans,49,33,0.598,Lost W. Conf. 1st Rnd.
2017-18,Dallas Mavericks,12,25,0.324,
2016-17,Dallas Mavericks,33,49,0.402,
2015-16,Dallas Mavericks,42,40,0.512,Lost W. Conf. 1st Rnd.
2014-15,Dallas Mavericks,50,32,0.61,Lost W. Conf. 1st Rnd.
2013-14,Dallas Mavericks,49,33,0.598,Lost W. Conf. 1st Rnd.
2012-13,Dallas Mavericks,41,41,0.5,
2011-12,Dallas Mavericks,36,30,0.545,Lost W. Conf. 1st Rnd.
2010-11,Dallas Mavericks,57,25,0.695,Won Finals
2009-10,Dallas Mavericks,55,27,0.671,Lost W. Conf. 1st Rnd.
2008-09,Dallas Mavericks,50,32,0.61,Lost W. Conf. Semis
2007-08,Dallas Mavericks,51,31,0.622,Lost W. Conf. 1st Rnd.
2017-18,Memphis Grizzlies,11,24,0.314,
2016-17,Memphis Grizzlies,43,39,0.524,Lost W. Conf. 1st Rnd.
2015-16,Memphis Grizzlies,42,40,0.512,Lost W. Conf. 1st Rnd.
2014-15,Memphis Grizzlies,55,27,0.671,Lost W. Conf. Semis
2013-14,Memphis Grizzlies,50,32,0.61,Lost W. Conf. 1st Rnd.
2012-13,Memphis Grizzlies,56,26,0.683,Lost W. Conf. Finals
2011-12,Memphis Grizzlies,41,25,0.621,Lost W. Conf. 1st Rnd.
2010-11,Memphis Grizzlies,46,36,0.561,Lost W. Conf. Semis
2009-10,Memphis Grizzlies,40,42,0.488,
2008-09,Memphis Grizzlies,24,58,0.293,
